x1,x2,x3,x4,x5,x6,x7,x8,class
4.0062,7.4993,4.012,7.3289,7.4256,8.6142,5.5711,8.3626,1
17.698,12.921,13.404,12.507,10.513,15.944,14.446,12.934,2
-6.4183,0.36812,-4.5611,-9.7738,-0.75479,-4.4644,-5.8023,-1.515,3
-10.109,-2.5103,-2.2099,-3.364,-3.499,-8.7056,-3.4262,-3.1311,5
13.179,10.496,12.456,13.703,13.87,16.022,10.358,13.372,2
6.9235,5.4116,6.2753,7.553,6.6808,7.5635,7.7494,3.0932,1
25.714,24.899,25.804,18.881,22.229,20.494,20.001,23.603,4
7.3283,9.8862,5.4351,10.407,11.556,10.21,10.75,4.0208,2
-5.3213,-3.6846,-4.783,-12.305,-4.3072,-2.8663,-5.804,0.4975,5
16.436,16.914,18.113,14.701,17.487,12.577,17.337,12.625,4
6.7255,18.463,14.521,18.622,14.112,16.283,12.406,23.177,4
2.3933,6.3715,5.6674,6.2217,1.1088,2.9274,1.7817,5.7874,1
5.2603,8.164,7.5739,5.8621,6.6082,9.8176,6.9475,5.9005,1
11.153,15.928,11.212,13.579,14.041,13.668,12.524,11.944,2
3.0168,2.8013,3.7481,7.2397,5.0246,4.1769,7.659,6.687,1
14.121,13.685,7.7385,12.753,8.2494,8.6152,9.6935,10.562,2
-11.009,-9.0039,-11.402,-7.6547,-3.0531,-11.804,-9.0059,-7.7067,5
-8.5062,-9.9359,-6.9346,-11.874,-13.046,-6.0829,-8.4209,-2.1716,5
13.448,17.339,10.202,9.1159,14.051,10.092,9.057,14.122,2
14.553,13.743,12.854,14.572,16.464,12.824,10.192,12.801,2
-6.0176,-1.63,-9.2926,-7.6573,-0.15342,-7.8376,-3.347,-3.6801,3
4.3128,2.9391,0.2667,6.1522,4.9197,4.246,4.0798,8.5285,1
16.426,21.444,22.289,19.717,20.909,19.454,16.051,13.816,4
-3.2188,-3.6402,-4.1711,-3.2145,-3.6344,-4.9066,-2.2038,-3.7052,3
4.1558,2.976,4.2293,4.2095,4.0902,4.4835,6.9226,4.1831,1
-7.0718,-2.561,-8.131,-5.0426,-3.5772,-4.3678,-1.5005,-8.5424,5
6.3331,3.5916,6.3214,4.7808,3.9312,6.1686,5.1393,6.7513,1
16.298,13.083,11.288,13.535,15.22,18.065,9.7284,11.973,2
-3.4013,-3.3362,-4.3605,-2.966,-2.999,-3.728,-4.421,-4.966,3
19.184,18.255,11.729,22.952,14.698,14.666,22.148,27.463,4
-3.656,-3.9616,-4.0625,-3.5827,-4.5344,-4.0321,-2.8764,-3.9342,3
16.545,21.924,23.358,21.951,13.881,26.626,20.197,18.066,4
19.635,22.058,15.635,20.406,12.966,21.912,22.466,28.467,4
8.9457,13.698,14.473,11.698,11.696,11.45,7.8217,14.531,2
4.8581,7.9475,4.1105,4.1235,4.7304,8.2037,6.808,4.2286,1
15.305,18.281,14.255,20.495,19.065,15.739,22.599,16.649,4
24.458,22.531,23.127,26.529,24.63,22.619,25.245,29.242,4
4.3065,4.5114,6.029,5.0971,6.4722,4.4339,5.6528,3.7671,1
8.5002,4.3553,3.0248,3.7881,3.3282,5.553,7.1741,5.1524,1
-6.2828,-4.4074,-9.4924,-6.3944,-7.0635,-3.0106,-1.6001,-1.8244,3
-5.9664,-4.6809,-6.6343,-8.3265,-4.9307,-2.2686,-4.5455,-1.8909,5
7.151,9.4444,1.9171,4.07,6.7792,3.3022,4.687,7.4358,1
5.9601,6.0039,5.9137,5.7386,7.4158,3.1797,6.6723,5.4789,1
3.2094,1.6248,2.715,7.0586,6.3929,1.6263,3.6214,4.337,1
-1.5995,-2.4806,-3.0773,-4.2244,-3.8594,-3.8533,-3.6192,-2.0659,3
-8.1116,-8.0544,-9.3485,-8.0851,-11.345,-5.3525,-8.6925,-7.8377,5
-2.8691,-3.9399,-2.2685,-3.4645,-2.2928,-4.6761,-3.2849,-2.5567,3
11.425,8.414,11.479,15.175,11.031,12.836,12.831,15.435,2
15.241,10.895,11.562,13.436,8.8926,6.8835,14.626,10.879,2
15.021,13.587,15.921,10.462,12.127,15.508,14.394,14.437,2
-3.8946,-9.1691,-13.085,-8.5399,-5.2714,-13.424,-14.739,-4.0811,5
-4.848,-5.0986,-3.2881,-3.2754,-2.9771,-4.1972,-3.5496,-3.6783,3
-1.9599,-6.1246,-4.4941,-3.8885,-2.4152,-0.21174,-2.5511,-4.4716,5
22.993,20.049,28.348,20.767,17.085,22.687,18.703,21.92,4
13.333,15.718,11.744,12.874,10.809,12.499,12.654,10.176,2
-4.5216,-4.3943,-4.579,-3.7452,-1.842,-8.7657,-2.2296,-2.6521,3
6.5636,6.1033,7.9448,5.6097,4.6698,6.5346,3.0877,4.1641,1
-4.4793,-1.1195,-2.1895,-1.3068,-2.7598,-8.4021,-6.2195,-3.5646,5
0.82621,-3.2945,-4.1876,-4.367,-8.6667,-3.9068,-6.1609,-2.9866,5
6.4539,7.0091,4.1811,6.3748,5.2674,7.943,8.6123,5.8964,1
12.577,11.156,12.738,9.5649,9.9213,10.307,14.19,21.109,2
-5.6758,-4.2906,-4.1262,-2.5442,-1.1405,-0.80967,-6.7628,-6.5305,3
9.545,12.128,13.366,11.75,14.531,9.905,8.6636,9.4387,2
-0.93028,-2.5638,-5.8866,-1.1762,-1.0713,-2.8482,-4.5475,-6.2199,5
12.457,9.8619,16.811,12.682,8.2656,10.656,12.428,11.673,2
-3.5315,-2.1089,-4.036,-3.6079,-4.4857,-3.2999,-2.2332,-3.2106,3
-7.2822,-0.8096,1.5374,-4.6269,2.8963,-2.3315,-2.6989,0.36691,3
-3.8309,-3.1567,-3.6748,-2.6593,-5.1471,-2.272,-2.7921,-3.5017,3
18.302,8.5191,16.527,18.992,21.507,16.956,21.65,15.853,4
11.088,11.819,13.764,7.5029,13.808,9.1095,12.388,13.244,2
-2.9562,-4.2119,-9.4247,-2.2827,-2.1434,-4.7697,-7.0972,-5.1021,5
3.6168,7.1499,2.4077,8.3505,6.4209,5.2537,3.9615,4.9372,1
6.5598,6.119,7.0252,6.6419,4.3576,5.1087,4.1371,4.0902,1
5.3103,2.9851,4.5759,5.3089,5.2485,5.9676,5.7282,6.1058,1
-7.2169,-6.4321,2.7221,-8.384,-1.5802,-0.99381,-2.633,-6.1249,3
13.129,22.067,17.107,23.883,22.633,18.017,18.478,17.117,4
13.908,18.935,16.302,18.336,16.094,19.974,23.446,16.92,4
25.665,11.878,13.939,19.849,13.194,26.384,17.488,24.666,4
