x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
7.0711,1.6469,9.6468,5.3678,7.4337,8.4057,11.959,11.922,3.25,16.563,2.8464
9.5801,6.5405,2.4129,9.2954,7.7349,4.7475,5.2245,11.385,6.5988,9.8624,2.4499
8.9983,14.418,12.848,8.0987,7.5452,9.3569,13.677,9.7936,13.021,11.903,1.365
11.261,13.192,12.233,10.817,16.334,12.837,5.9834,8.6144,7.2894,11.7,1.5858
7.459,11.734,9.9305,20.915,6.0115,14.915,6.6744,14.351,6.3742,11.598,-0.13554
3.2567,6.4424,14.372,5.3468,13.583,13.408,12.747,7.6129,11.2,11.969,1.9591
6.7234,9.9295,8.7347,8.9149,8.42,7.0302,8.2905,11.638,8.8602,10.003,3.6478
7.9728,11.733,11.382,13.2,7.1464,7.4031,13.72,15.809,7.4017,9.3223,2.3737
9.3021,11.378,7.6183,7.6083,15.266,6.2109,11.647,9.0891,4.8947,11.907,3.1163
16.002,8.8914,8.0438,5.648,3.8393,8.0528,6.9744,7.6054,13.099,17.291,2.4164
8.7381,7.2491,9.4577,9.7242,10.811,11.544,11.824,12.614,5.2412,17.297,2.1436
3.8543,8.6404,9.0438,2.6666,4.4041,8.3112,5.1626,11.41,3.2161,2.9585,1.8003
8.5774,6.3196,1.7665,2.6439,8.732,7.717,8.915,2.2705,13.088,6.3559,2.7053
9.0205,11,4.6494,11.6,7.9503,11.849,1.2845,11.995,21.338,12.485,1.1507
5.0375,14.244,9.9194,12.226,8.1194,15.196,10.273,13.674,3.917,9.1746,1.4711
2.6291,4.5783,4.2133,13.393,7.6683,8.0613,9.7845,7.2336,4.3834,11.121,2.7403
15.845,8.2131,13.386,13.436,12.224,11.014,10.508,12.332,6.2773,14.991,1.1662
10.205,13.597,13.379,6.3378,14.138,8.3348,14.442,17.047,2.895,12.216,2.3037
4.8276,13.692,13.161,11.62,9.8422,14.007,9.9581,9.961,10.341,14.532,0.38354
11.899,7.4808,8.1117,6.8061,5.2233,6.598,9.9726,13.69,6.0906,5.0888,0.84035
6.9952,9.8519,7.7384,7.9961,9.6144,10.005,6.162,8.6203,15.782,10.032,1.5023
7.9209,6.4251,9.9576,13.952,10.475,12.944,13.092,15.206,14.157,17.25,1.747
8.2648,12.05,15.269,9.9463,10.564,12.289,12.567,2.7241,13.885,8.1635,2.577
3.2252,14.281,10.228,14.733,3.224,12.431,13.477,7.708,4.1162,8.2079,2.8624
11.978,8.7181,8.3634,9.8563,18.931,12.446,9.8533,9.039,3.7581,13.508,3.7016
15.187,13.586,8.5112,12.99,5.2923,9.4384,10.495,4.3034,8.0517,18.203,0.27703
11.384,5.9391,14.57,12.035,12.517,8.5024,7.4006,8.8738,14.203,6.3946,1.8642
15.119,4.3287,10.209,6.8142,11.839,11.507,8.2104,8.5611,8.176,7.3823,1.2832
12.754,9.6599,13.372,6.4729,6.3904,8.5957,12.045,7.9011,13.109,14.47,2.8405
11.142,14.244,12.067,5.4839,15.637,5.0222,6.3177,13.92,13.566,6.2708,1.3963
5.699,7.3015,13.06,8.2815,10.507,10.649,12.694,10.277,9.0912,3.1726,1.7792
6.5733,13.524,8.7073,12.619,9.5233,3.1129,7.8718,8.3889,9.292,3.6114,1.3768
9.6136,11.397,12.786,7.8006,11.771,15.679,5.5867,12.054,2.5043,12.731,3.6153
6.7318,9.198,11.293,3.1353,3.7067,7.1851,12.396,4.5646,8.4455,6.7977,3.6623
14.731,13.629,5.2457,11.684,14.911,7.5795,12.796,7.382,7.7087,13.065,2.3992
5.3225,6.3007,17.671,10.262,8.744,8.7809,8.9915,6.5164,11.511,12.517,0.95034
10.501,6.3117,4.9952,6.0881,12.505,12.603,6.0028,9.4348,7.2722,13.827,1.0785
5.2479,8.8552,7.8936,7.5136,4.3579,10.142,9.2119,4.7988,3.932,13.438,1.9641
19.208,10.289,12.992,14.387,8.7613,11.612,11.132,8.5943,6.4116,7.1846,2.2723
14.01,11.693,11.059,12.919,6.8365,9.3628,10.192,11.364,9.6796,10.741,1.7207
12.256,7.9227,5.75,16.021,13.34,9.6781,4.8344,7.0379,12.829,9.9733,2.0055
2.4918,7.6706,6.7263,11.509,9.1095,11.951,9.4607,8.6322,9.6619,10.681,2.0031
13.927,10.794,14.774,12.068,14.396,10.85,16.188,6.9639,7.5862,11.973,2.6251
8.1681,11.369,11.857,3.9825,9.5446,5.9018,19.939,10.596,12.943,5.2117,0.9463
12.554,6.6989,4.47,12.219,10.23,9.6749,11.176,4.8793,5.7547,13.885,0.82944
10.911,9.1186,7.5444,8.7105,6.4348,17.941,11.182,17.055,7.6433,14.173,0.47687
2.955,8.4405,9.8796,4.8726,13.663,6.6519,8.6935,11.149,11.256,4.2169,0.052922
16.444,11.061,8.1025,4.6423,10.98,11.564,9.5692,10.117,10.804,9.894,0.94738
3.1072,9.909,11.957,15.518,4.3003,8.6699,10.643,8.8361,5.7193,9.0944,0.065275
5.0438,8.3367,5.4569,11.11,8.6558,12.036,6.6268,11.116,12.452,10.619,1.3921
8.4174,5.3773,9.8902,1.5939,12.758,10.036,11.516,10.841,5.1448,17.25,2.445
6.9536,12.716,11.947,12.666,5.4392,11.568,6.4603,7.7895,14.633,6.8186,2.7862
8.6544,5.7047,8.3707,10.488,9.3169,10.263,6.3605,8.261,10.134,15.237,2.0409
9.4197,10.901,7.1677,15.082,3.7173,11.153,10.851,14.3,2.4767,10.8,2.2079
10.475,10.578,9.4625,10.688,6.4729,12.357,12.488,5.7022,-0.028562,8.1978,-0.019757
1.1664,8.8886,12.085,12.231,10.038,8.8623,9.2553,5.8797,11.99,4.6288,3.0375
10.798,9.7748,8.7169,14.183,9.0467,7.8438,14.119,10.942,9.4372,4.744,1.9636
4.8923,14.655,12.986,13.197,10.848,6.9843,12.723,8.6101,6.4068,9.4806,2.047
11.137,0.77149,6.6021,5.0382,6.1176,15.835,13.836,7.8449,8.7597,13.756,0.93125
9.9026,12.406,13.661,11.374,6.4916,10.705,6.1202,11.017,9.3865,11.652,1.3748
12.269,8.7673,9.1973,2.3274,5.9501,13.182,15.095,10.113,4.5737,7.2663,1.8107
15.338,12.914,14.564,8.4927,4.418,17.084,7.9946,7.5257,6.3774,17.548,1.0283
12.705,7.9146,7.1794,12.651,4.7088,7.5912,12.285,9.7361,10.86,8.5361,2.5417
10.779,7.0581,5.0794,15.646,8.6822,11.44,10.148,9.7109,11.767,4.4749,1.7713
4.6158,8.4668,7.4191,7.482,5.4788,6.896,7.1476,5.9266,6.4043,4.0109,0.0020127
12.139,15.114,4.0543,13.167,8.6651,9.5199,12.258,12.276,8.5574,15.735,2.6934
10.126,14.159,10.855,7.317,9.2759,4.2156,9.7619,7.6432,14.116,12.318,4.6617
7.0899,5.0592,4.0025,6.6998,11.623,12.463,9.6294,7.8305,20.12,12.462,1.5756
12.1,7.3699,6.4717,13.252,13.595,6.6217,13.036,12.78,5.3757,14.506,1.3232
5.338,7.872,8.5969,5.5741,7.4728,11.488,8.6246,7.7188,12.834,8.9889,3.3916
6.5876,5.5097,7.4792,9.8282,12.878,13.036,15.564,12.436,0.93774,6.0658,1.4847
12.614,4.9788,5.294,7.9119,11.659,5.4865,10.553,9.4681,6.1356,5.9262,1.2641
7.6246,9.9749,12.368,9.2586,8.3038,11.419,4.9149,11.959,11.246,14.458,1.9905
10.917,6.6482,11.726,1.6798,-1.5288,7.1751,12.272,5.0386,9.7247,12.303,1.8483
4.3805,8.0309,8.9347,16.359,16.19,9.2985,9.0885,18.094,8.0363,3.765,1.4866
13.684,12.265,11.805,8.8903,7.5863,7.9743,5.3279,13.497,7.7886,7.4088,3.2209
3.6312,9.6469,6.9146,10.857,10.696,12.704,9.9189,8.4387,9.5526,9.8288,1.0506
10.678,8.9003,13.013,4.5923,-0.52871,9.8867,14.62,10.68,7.5535,5.5918,2.6234
8.9518,11.546,15.054,10.507,3.3215,11.268,11.369,16.151,7.9794,16.903,3.2393
13.215,13.608,11.398,6.8734,8.5464,8.4924,11.752,11.049,9.5331,9.778,0.8793
10.823,5.2948,5.2195,14.729,12.055,11.004,8.1908,11.137,12.86,12.856,2.3563
14.388,10.242,12.972,17.095,9.4365,10.946,8.7459,4.9554,8.3913,14.243,2.0692
11.543,7.3247,3.7905,12.071,7.8964,13.678,6.5804,9.6784,14.93,12.21,2.0192
12.084,10.57,5.311,14.011,9.5711,13.837,9.6046,5.7322,5.0137,10.558,0.47709
11.892,12.345,8.1511,7.9977,9.0502,6.9212,12.742,9.6483,13.938,11.124,2.4623
8.4788,11.152,8.2906,12.263,11.292,12.426,7.6454,14.33,5.7228,12.381,3.7954
9.7861,10.817,13.207,4.7074,6.8656,10.388,10.29,8.0014,12.144,9.3171,1.0448
15.5,10.223,12.335,12.883,6.6212,9.3563,9.6584,8.0073,10.956,11.851,2.1729
12.843,7.3148,11.47,12.568,15.775,0.99479,10.969,2.1358,11.779,4.9628,1.1693
10.685,12.26,5.8896,17.705,16.402,10.744,10.146,1.4778,11.065,12.991,2.7157
8.1528,11.423,9.9864,7.3208,9.172,15.271,6.6657,7.9431,14.716,8.0862,3.2794
8.6979,8.2786,11.377,9.3392,8.8506,13.168,7.8275,8.0919,12.893,12.392,-0.1795
9.262,8.2582,9.7555,10.433,9.8971,14.476,6.603,9.8519,7.8056,5.6088,3.0519
9.1534,14.602,8.8524,12.644,5.8432,11.218,10.143,6.0077,10.248,11.234,-0.85588
